,MAE,RMSE,MAPE,R2
ARIMA,117.06626133127483,137.79461961095447,1925.2365539358627,-0.710128370130692
LSTM,84.34601127109951,103.96513597869425,610.7615839549277,0.026491734716037718
Time-LLM,91.28435887892309,105.61404012250837,1108.9029740677247,-0.00463314841561413
